#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 9893568, SEN S/N: 9893568)","Ext. Line Event, units (LGR S/N: 1147179, SEN S/N: 1147179)",Coupler Attached (LGR S/N: 9893568),Host Connected (LGR S/N: 9893568),Stopped (LGR S/N: 9893568),End Of File (LGR S/N: 9893568)
,05/30/2022 16:00,18.426,,,,,
,05/30/2022 17:00,27.862,,,,,
,05/30/2022 18:00,16.427,,,,,
,05/30/2022 19:00,11.625,,,,,
,05/30/2022 20:00,9.176,,,,,
,05/30/2022 21:00,7.983,,,,,
,05/30/2022 22:00,7.381,,,,,
,05/30/2022 23:00,6.877,,,,,
,05/31/2022 0:00,6.775,,,,,
,05/31/2022 1:00,6.674,,,,,
,05/31/2022 2:00,6.471,,,,,
,05/31/2022 3:00,5.244,,,,,
,05/31/2022 4:00,4.519,,,,,
,05/31/2022 5:00,4.727,,,,,
,05/31/2022 6:00,5.244,,,,,
,05/31/2022 7:00,5.962,,,,,
,05/31/2022 8:00,9.077,,,,,
,05/31/2022 9:00,15.091,,,,,
,05/31/2022 10:00,21.951,,,,,
,05/31/2022 11:00,26.683,,,,,
,05/31/2022 12:00,23.773,,,,,
,05/31/2022 13:00,21.282,,,,,
,05/31/2022 14:00,26.879,,,,,
,05/31/2022 15:00,31.574,,,,,
,05/31/2022 16:00,28.655,,,,,
,05/31/2022 17:00,27.665,,,,,
,05/31/2022 18:00,16.332,,,,,
,05/31/2022 19:00,11.528,,,,,
,05/31/2022 20:00,9.077,,,,,
,05/31/2022 21:00,7.582,,,,,
,05/31/2022 22:00,6.674,,,,,
,05/31/2022 23:00,6.37,,,,,
,06/01/2022 0:00,5.655,,,,,
,06/01/2022 1:00,5.141,,,,,
,06/01/2022 2:00,4.831,,,,,
,06/01/2022 3:00,4.727,,,,,
,06/01/2022 4:00,4.831,,,,,
,06/01/2022 5:00,4.519,,,,,
,06/01/2022 6:00,4.831,,,,,
,06/01/2022 7:00,5.141,,,,,
,06/01/2022 8:00,6.978,,,,,
,06/01/2022 9:00,12.11,,,,,
,06/01/2022 10:00,22.142,,,,,
,06/01/2022 11:00,21.091,,,,,
,06/01/2022 12:00,23.966,,,,,
,06/01/2022 13:00,26.879,,,,,
,06/01/2022 14:00,33.743,,,,,
,06/01/2022 15:00,30.862,,,,,
,06/01/2022 16:00,33.953,,,,,
,06/01/2022 17:00,31.88,,,,,
,06/01/2022 18:00,18.045,,,,,
,06/01/2022 19:00,13.269,,,,,
,06/01/2022 20:00,11.041,,,,,
,06/01/2022 21:00,10.357,,,,,
,06/01/2022 22:00,9.768,,,,,
,06/01/2022 23:00,9.571,,,,,
,06/02/2022 0:00,9.472,,,,,
,06/02/2022 1:00,9.275,,,,,
,06/02/2022 2:00,9.275,,,,,
,06/02/2022 3:00,9.275,,,,,
,06/02/2022 4:00,9.275,,,,,
,06/02/2022 5:00,9.275,,,,,
,06/02/2022 6:00,10.748,,,,,
,06/02/2022 7:00,12.304,,,,,
,06/02/2022 8:00,16.523,,,,,
,06/02/2022 9:00,19.282,,,,,
,06/02/2022 10:00,20.996,,,,,
,06/02/2022 11:00,25.513,,,,,
,06/02/2022 12:00,24.641,,,,,
,06/02/2022 13:00,27.961,,,,,
,06/02/2022 14:00,25.708,,,,,
,06/02/2022 15:00,23.677,,,,,
,06/02/2022 16:00,24.351,,,,,
,06/02/2022 17:00,27.37,,,,,
,06/02/2022 18:00,19.187,,,,,
,06/02/2022 19:00,15.187,,,,,
,06/02/2022 20:00,12.497,,,,,
,06/02/2022 21:00,11.431,,,,,
,06/02/2022 22:00,11.528,,,,,
,06/02/2022 23:00,10.748,,,,,
,06/03/2022 0:00,10.748,,,,,
,06/03/2022 1:00,9.768,,,,,
,06/03/2022 2:00,10.161,,,,,
,06/03/2022 3:00,10.259,,,,,
,06/03/2022 4:00,9.571,,,,,
,06/03/2022 5:00,9.275,,,,,
,06/03/2022 6:00,10.161,,,,,
,06/03/2022 7:00,10.455,,,,,
,06/03/2022 8:00,8.779,,,,,
,06/03/2022 8:34,,1,,,,
,06/03/2022 9:00,8.879,,,,,
,06/03/2022 9:04,,2,,,,
,06/03/2022 9:19,,3,,,,
,06/03/2022 9:30,,4,,,,
,06/03/2022 9:36,,5,,,,
,06/03/2022 9:41,,6,,,,
,06/03/2022 9:52,,7,,,,
,06/03/2022 10:00,9.571,,,,,
,06/03/2022 10:01,,8,,,,
,06/03/2022 10:38,,9,,,,
,06/03/2022 10:52,,10,,,,
,06/03/2022 11:00,10.357,,,,,
,06/03/2022 11:51,,11,,,,
,06/03/2022 12:00,10.161,,,,,
,06/03/2022 13:00,11.334,,,,,
,06/03/2022 14:00,12.98,,,,,
,06/03/2022 15:00,14.421,,,,,
,06/03/2022 16:00,13.75,,,,,
,06/03/2022 17:00,13.173,,,,,
,06/03/2022 17:15,,12,,,,
,06/03/2022 17:19,,13,,,,
,06/03/2022 17:26,,14,,,,
,06/03/2022 17:37,,15,,,,
,06/03/2022 17:45,,16,,,,
,06/03/2022 17:53,,17,,,,
,06/03/2022 18:00,10.357,,,,,
,06/03/2022 18:01,,18,,,,
,06/03/2022 18:11,,19,,,,
,06/03/2022 18:27,,20,,,,
,06/03/2022 19:00,9.373,,,,,
,06/03/2022 20:00,8.082,,,,,
,06/03/2022 21:00,7.481,,,,,
,06/03/2022 22:00,7.179,,,,,
,06/03/2022 23:00,6.877,,,,,
,06/04/2022 0:00,7.079,,,,,
,06/04/2022 0:49,,21,,,,
,06/04/2022 1:00,6.775,,,,,
,06/04/2022 2:00,6.775,,,,,
,06/04/2022 3:00,6.775,,,,,
,06/04/2022 3:02,,22,,,,
,06/04/2022 3:19,,23,,,,
,06/04/2022 4:00,6.775,,,,,
,06/04/2022 4:18,,24,,,,
,06/04/2022 5:00,6.877,,,,,
,06/04/2022 5:00,,25,,,,
,06/04/2022 5:43,,26,,,,
,06/04/2022 6:00,7.381,,,,,
,06/04/2022 6:27,,27,,,,
,06/04/2022 7:00,8.581,,,,,
,06/04/2022 7:01,,28,,,,
,06/04/2022 7:35,,29,,,,
,06/04/2022 8:00,10.161,,,,,
,06/04/2022 8:02,,30,,,,
,06/04/2022 8:43,,31,,,,
,06/04/2022 9:00,10.944,,,,,
,06/04/2022 10:00,12.207,,,,,
,06/04/2022 10:42,,32,,,,
,06/04/2022 11:00,13.654,,,,,
,06/04/2022 12:00,16.523,,,,,
,06/04/2022 13:00,20.805,,,,,
,06/04/2022 14:00,22.621,,,,,
,06/04/2022 15:00,20.519,,,,,
,06/04/2022 16:00,17.665,,,,,
,06/04/2022 17:00,15.282,,,,,
,06/04/2022 17:17,,33,,,,
,06/04/2022 17:51,,34,,,,
,06/04/2022 18:00,12.883,,,,,
,06/04/2022 18:42,,35,,,,
,06/04/2022 19:00,10.944,,,,,
,06/04/2022 19:31,,36,,,,
,06/04/2022 20:00,9.176,,,,,
,06/04/2022 20:58,,37,,,,
,06/04/2022 21:00,8.182,,,,,
,06/04/2022 22:00,7.983,,,,,
,06/04/2022 22:04,,38,,,,
,06/04/2022 23:00,7.782,,,,,
,06/05/2022 0:00,7.582,,,,,
,06/05/2022 1:00,7.381,,,,,
,06/05/2022 1:11,,39,,,,
,06/05/2022 2:00,7.381,,,,,
,06/05/2022 3:00,6.978,,,,,
,06/05/2022 4:00,6.775,,,,,
,06/05/2022 5:00,7.179,,,,,
,06/05/2022 6:00,7.882,,,,,
,06/05/2022 7:00,12.013,,,,,
,06/05/2022 8:00,12.401,,,,,
,06/05/2022 8:07,,40,,,,
,06/05/2022 8:31,,41,,,,
,06/05/2022 8:43,,42,,,,
,06/05/2022 9:00,11.041,,,,,
,06/05/2022 9:02,,43,,,,
,06/05/2022 9:12,,44,,,,
,06/05/2022 9:33,,45,,,,
,06/05/2022 9:43,,46,,,,
,06/05/2022 10:00,10.651,,,,,
,06/05/2022 10:02,,47,,,,
,06/05/2022 11:00,11.236,,,,,
,06/05/2022 12:00,12.69,,,,,
,06/05/2022 12:01,,48,,,,
,06/05/2022 13:00,12.11,,,,,
,06/05/2022 13:02,,49,,,,
,06/05/2022 14:00,12.98,,,,,
,06/05/2022 14:03,,50,,,,
,06/05/2022 14:06,,51,,,,
,06/05/2022 14:09,,52,,,,
,06/05/2022 14:14,,53,,,,
,06/05/2022 14:18,,54,,,,
,06/05/2022 14:19,,55,,,,
,06/05/2022 14:22,,56,,,,
,06/05/2022 14:26,,57,,,,
,06/05/2022 14:48,,58,,,,
,06/05/2022 15:00,12.883,,,,,
,06/05/2022 16:00,13.461,,,,,
,06/05/2022 17:00,15.664,,,,,
,06/05/2022 18:00,12.11,,,,,
,06/05/2022 19:00,10.161,,,,,
,06/05/2022 20:00,8.779,,,,,
,06/05/2022 20:10,,59,,,,
,06/05/2022 20:18,,60,,,,
,06/05/2022 21:00,7.782,,,,,
,06/05/2022 22:00,6.674,,,,,
,06/05/2022 22:10,,61,,,,
,06/05/2022 23:00,6.471,,,,,
,06/06/2022 0:00,6.471,,,,,
,06/06/2022 1:00,6.573,,,,,
,06/06/2022 2:00,6.471,,,,,
,06/06/2022 3:00,6.471,,,,,
,06/06/2022 4:00,6.166,,,,,
,06/06/2022 5:00,5.962,,,,,
,06/06/2022 6:00,6.877,,,,,
,06/06/2022 7:00,9.275,,,,,
,06/06/2022 8:00,10.161,,,,,
,06/06/2022 9:00,12.69,,,,,
,06/06/2022 10:00,16.332,,,,,
,06/06/2022 10:40,,62,,,,
,06/06/2022 11:00,15.378,,,,,
,06/06/2022 11:25,,63,,,,
,06/06/2022 11:43,,64,,,,
,06/06/2022 12:00,14.9,,,,,
,06/06/2022 12:03,,65,,,,
,06/06/2022 13:00,22.621,,,,,
,06/06/2022 14:00,21.951,,,,,
,06/06/2022 15:00,18.521,,,,,
,06/06/2022 16:00,29.352,,,,,
,06/06/2022 17:00,24.931,,,,,
,06/06/2022 18:00,14.709,,,,,
,06/06/2022 19:00,11.236,,,,,
,06/06/2022 20:00,8.581,,,,,
,06/06/2022 21:00,6.674,,,,,
,06/06/2022 22:00,5.655,,,,,
,06/06/2022 23:00,5.141,,,,,
,06/07/2022 0:00,4.831,,,,,
,06/07/2022 1:00,4.623,,,,,
,06/07/2022 2:00,4.415,,,,,
,06/07/2022 3:00,3.998,,,,,
,06/07/2022 4:00,3.893,,,,,
,06/07/2022 5:00,4.102,,,,,
,06/07/2022 6:00,4.727,,,,,
,06/07/2022 7:00,5.757,,,,,
,06/07/2022 8:00,6.877,,,,,
,06/07/2022 9:00,12.98,,,,,
,06/07/2022 10:00,27.272,,,,,
,06/07/2022 11:00,25.805,,,,,
,06/07/2022 12:00,28.953,,,,,
,06/07/2022 13:00,26.488,,,,,
,06/07/2022 14:00,28.159,,,,,
,06/07/2022 15:00,29.452,,,,,
,06/07/2022 16:00,24.641,,,,,
,06/07/2022 17:00,23.196,,,,,
,06/07/2022 18:00,16.713,,,,,
,06/07/2022 19:00,12.98,,,,,
,06/07/2022 20:00,11.236,,,,,
,06/07/2022 21:00,10.259,,,,,
,06/07/2022 22:00,9.768,,,,,
,06/07/2022 23:00,9.472,,,,,
,06/08/2022 0:00,9.077,,,,,
,06/08/2022 1:00,8.779,,,,,
,06/08/2022 2:00,8.68,,,,,
,06/08/2022 3:00,8.68,,,,,
,06/08/2022 4:00,8.779,,,,,
,06/08/2022 4:36,,66,,,,
,06/08/2022 5:00,8.282,,,,,
,06/08/2022 6:00,8.082,,,,,
,06/08/2022 6:06,,67,,,,
,06/08/2022 7:00,9.275,,,,,
,06/08/2022 8:00,9.768,,,,,
,06/08/2022 9:00,10.161,,,,,
,06/08/2022 10:00,12.594,,,,,
,06/08/2022 11:00,13.942,,,,,
,06/08/2022 12:00,23.1,,,,,
,06/08/2022 13:00,29.552,,,,,
,06/08/2022 14:00,35.649,,,,,
,06/08/2022 15:00,24.641,,,,,
,06/08/2022 16:00,27.961,,,,,
,06/08/2022 16:59,,68,,,,
,06/08/2022 16:59,,69,,,,
,06/08/2022 17:00,18.426,,,,,
,06/08/2022 17:00,,70,,,,
,06/08/2022 17:01,,71,,,,
,06/08/2022 17:01,,72,,,,
,06/08/2022 17:01,,73,,,,
,06/08/2022 17:02,,74,,,,
,06/08/2022 17:02,,75,,,,
,06/08/2022 17:02,,76,,,,
,06/08/2022 17:02,,77,,,,
,06/08/2022 17:03,,78,,,,
,06/08/2022 17:03,,79,,,,
,06/08/2022 17:03,,80,,,,
,06/08/2022 17:03,,81,,,,
,06/08/2022 17:04,,82,,,,
,06/08/2022 17:04,,83,,,,
,06/08/2022 17:05,,84,,,,
,06/08/2022 17:08,,85,,,,
,06/08/2022 17:17,,86,,,,
,06/08/2022 17:22,,87,,,,
,06/08/2022 17:23,,88,,,,
,06/08/2022 17:26,,89,,,,
,06/08/2022 17:26,,90,,,,
,06/08/2022 17:27,,91,,,,
,06/08/2022 17:27,,92,,,,
,06/08/2022 17:27,,93,,,,
,06/08/2022 17:28,,94,,,,
,06/08/2022 17:28,,95,,,,
,06/08/2022 17:29,,96,,,,
,06/08/2022 17:30,,97,,,,
,06/08/2022 17:31,,98,,,,
,06/08/2022 17:34,,99,,,,
,06/08/2022 17:40,,100,,,,
,06/08/2022 17:48,,101,,,,
,06/08/2022 18:00,10.455,,,,,
,06/08/2022 18:14,,102,,,,
,06/08/2022 19:00,9.866,,,,,
,06/08/2022 20:00,9.077,,,,,
,06/08/2022 21:00,8.282,,,,,
,06/08/2022 22:00,7.582,,,,,
,06/08/2022 23:00,6.674,,,,,
,06/09/2022 0:00,6.166,,,,,
,06/09/2022 1:00,5.655,,,,,
,06/09/2022 2:00,5.552,,,,,
,06/09/2022 3:00,5.141,,,,,
,06/09/2022 4:00,5.037,,,,,
,06/09/2022 5:00,5.757,,,,,
,06/09/2022 6:00,6.471,,,,,
,06/09/2022 7:00,9.077,,,,,
,06/09/2022 8:00,12.013,,,,,
,06/09/2022 9:00,15.569,,,,,
,06/09/2022 10:00,17.665,,,,,
,06/09/2022 11:00,20.329,,,,,
,06/09/2022 12:00,17.57,,,,,
,06/09/2022 13:00,14.134,,,,,
,06/09/2022 14:00,11.139,,,,,
,06/09/2022 14:07,,103,,,,
,06/09/2022 14:43,,104,,,,
,06/09/2022 14:59,,105,,,,
,06/09/2022 15:00,10.357,,,,,
,06/09/2022 15:07,,106,,,,
,06/09/2022 15:15,,107,,,,
,06/09/2022 15:26,,108,,,,
,06/09/2022 15:31,,109,,,,
,06/09/2022 15:35,,110,,,,
,06/09/2022 15:39,,111,,,,
,06/09/2022 15:43,,112,,,,
,06/09/2022 15:48,,113,,,,
,06/09/2022 15:54,,114,,,,
,06/09/2022 15:57,,115,,,,
,06/09/2022 16:00,9.077,,,,,
,06/09/2022 16:01,,116,,,,
,06/09/2022 16:05,,117,,,,
,06/09/2022 16:09,,118,,,,
,06/09/2022 16:13,,119,,,,
,06/09/2022 16:17,,120,,,,
,06/09/2022 16:21,,121,,,,
,06/09/2022 16:26,,122,,,,
,06/09/2022 16:31,,123,,,,
,06/09/2022 16:34,,124,,,,
,06/09/2022 16:38,,125,,,,
,06/09/2022 16:43,,126,,,,
,06/09/2022 16:47,,127,,,,
,06/09/2022 16:51,,128,,,,
,06/09/2022 16:58,,129,,,,
,06/09/2022 17:00,8.182,,,,,
,06/09/2022 17:05,,130,,,,
,06/09/2022 17:11,,131,,,,
,06/09/2022 17:15,,132,,,,
,06/09/2022 17:19,,133,,,,
,06/09/2022 17:25,,134,,,,
,06/09/2022 17:31,,135,,,,
