#,DateTime,Temperature_C,Event,mm
,5/30/2022 16:00,18.426,,
,5/30/2022 17:00,27.862,,
,5/30/2022 18:00,16.427,,
,5/30/2022 19:00,11.625,,
,5/30/2022 20:00,9.176,,
,5/30/2022 21:00,7.983,,
,5/30/2022 22:00,7.381,,
,5/30/2022 23:00,6.877,,
,5/31/2022 0:00,6.775,,
,5/31/2022 1:00,6.674,,
,5/31/2022 2:00,6.471,,
,5/31/2022 3:00,5.244,,
,5/31/2022 4:00,4.519,,
,5/31/2022 5:00,4.727,,
,5/31/2022 6:00,5.244,,
,5/31/2022 7:00,5.962,,
,5/31/2022 8:00,9.077,,
,5/31/2022 9:00,15.091,,
,5/31/2022 10:00,21.951,,
,5/31/2022 11:00,26.683,,
,5/31/2022 12:00,23.773,,
,5/31/2022 13:00,21.282,,
,5/31/2022 14:00,26.879,,
,5/31/2022 15:00,31.574,,
,5/31/2022 16:00,28.655,,
,5/31/2022 17:00,27.665,,
,5/31/2022 18:00,16.332,,
,5/31/2022 19:00,11.528,,
,5/31/2022 20:00,9.077,,
,5/31/2022 21:00,7.582,,
,5/31/2022 22:00,6.674,,
,5/31/2022 23:00,6.37,,
,6/1/2022 0:00,5.655,,
,6/1/2022 1:00,5.141,,
,6/1/2022 2:00,4.831,,
,6/1/2022 3:00,4.727,,
,6/1/2022 4:00,4.831,,
,6/1/2022 5:00,4.519,,
,6/1/2022 6:00,4.831,,
,6/1/2022 7:00,5.141,,
,6/1/2022 8:00,6.978,,
,6/1/2022 9:00,12.11,,
,6/1/2022 10:00,22.142,,
,6/1/2022 11:00,21.091,,
,6/1/2022 12:00,23.966,,
,6/1/2022 13:00,26.879,,
,6/1/2022 14:00,33.743,,
,6/1/2022 15:00,30.862,,
,6/1/2022 16:00,33.953,,
,6/1/2022 17:00,31.88,,
,6/1/2022 18:00,18.045,,
,6/1/2022 19:00,13.269,,
,6/1/2022 20:00,11.041,,
,6/1/2022 21:00,10.357,,
,6/1/2022 22:00,9.768,,
,6/1/2022 23:00,9.571,,
,6/2/2022 0:00,9.472,,
,6/2/2022 1:00,9.275,,
,6/2/2022 2:00,9.275,,
,6/2/2022 3:00,9.275,,
,6/2/2022 4:00,9.275,,
,6/2/2022 5:00,9.275,,
,6/2/2022 6:00,10.748,,
,6/2/2022 7:00,12.304,,
,6/2/2022 8:00,16.523,,
,6/2/2022 9:00,19.282,,
,6/2/2022 10:00,20.996,,
,6/2/2022 11:00,25.513,,
,6/2/2022 12:00,24.641,,
,6/2/2022 13:00,27.961,,
,6/2/2022 14:00,25.708,,
,6/2/2022 15:00,23.677,,
,6/2/2022 16:00,24.351,,
,6/2/2022 17:00,27.37,,
,6/2/2022 18:00,19.187,,
,6/2/2022 19:00,15.187,,
,6/2/2022 20:00,12.497,,
,6/2/2022 21:00,11.431,,
,6/2/2022 22:00,11.528,,
,6/2/2022 23:00,10.748,,
,6/3/2022 0:00,10.748,,
,6/3/2022 1:00,9.768,,
,6/3/2022 2:00,10.161,,
,6/3/2022 3:00,10.259,,
,6/3/2022 4:00,9.571,,
,6/3/2022 5:00,9.275,,
,6/3/2022 6:00,10.161,,
,6/3/2022 7:00,10.455,,
,6/3/2022 8:00,8.779,,
,6/3/2022 8:34,,1,0.254
,6/3/2022 9:00,8.879,,
,6/3/2022 9:04,,2,0.254
,6/3/2022 9:19,,3,0.254
,6/3/2022 9:30,,4,0.254
,6/3/2022 9:36,,5,0.254
,6/3/2022 9:41,,6,0.254
,6/3/2022 9:52,,7,0.254
,6/3/2022 10:00,9.571,,
,6/3/2022 10:01,,8,0.254
,6/3/2022 10:38,,9,0.254
,6/3/2022 10:52,,10,0.254
,6/3/2022 11:00,10.357,,
,6/3/2022 11:51,,11,0.254
,6/3/2022 12:00,10.161,,
,6/3/2022 13:00,11.334,,
,6/3/2022 14:00,12.98,,
,6/3/2022 15:00,14.421,,
,6/3/2022 16:00,13.75,,
,6/3/2022 17:00,13.173,,
,6/3/2022 17:15,,12,0.254
,6/3/2022 17:19,,13,0.254
,6/3/2022 17:26,,14,0.254
,6/3/2022 17:37,,15,0.254
,6/3/2022 17:45,,16,0.254
,6/3/2022 17:53,,17,0.254
,6/3/2022 18:00,10.357,,
,6/3/2022 18:01,,18,0.254
,6/3/2022 18:11,,19,0.254
,6/3/2022 18:27,,20,0.254
,6/3/2022 19:00,9.373,,
,6/3/2022 20:00,8.082,,
,6/3/2022 21:00,7.481,,
,6/3/2022 22:00,7.179,,
,6/3/2022 23:00,6.877,,
,6/4/2022 0:00,7.079,,
,6/4/2022 0:49,,21,0.254
,6/4/2022 1:00,6.775,,
,6/4/2022 2:00,6.775,,
,6/4/2022 3:00,6.775,,
,6/4/2022 3:02,,22,0.254
,6/4/2022 3:19,,23,0.254
,6/4/2022 4:00,6.775,,
,6/4/2022 4:18,,24,0.254
,6/4/2022 5:00,6.877,,
,6/4/2022 5:00,,25,0.254
,6/4/2022 5:43,,26,0.254
,6/4/2022 6:00,7.381,,
,6/4/2022 6:27,,27,0.254
,6/4/2022 7:00,8.581,,
,6/4/2022 7:01,,28,0.254
,6/4/2022 7:35,,29,0.254
,6/4/2022 8:00,10.161,,
,6/4/2022 8:02,,30,0.254
,6/4/2022 8:43,,31,0.254
,6/4/2022 9:00,10.944,,
,6/4/2022 10:00,12.207,,
,6/4/2022 10:42,,32,0.254
,6/4/2022 11:00,13.654,,
,6/4/2022 12:00,16.523,,
,6/4/2022 13:00,20.805,,
,6/4/2022 14:00,22.621,,
,6/4/2022 15:00,20.519,,
,6/4/2022 16:00,17.665,,
,6/4/2022 17:00,15.282,,
,6/4/2022 17:17,,33,0.254
,6/4/2022 17:51,,34,0.254
,6/4/2022 18:00,12.883,,
,6/4/2022 18:42,,35,0.254
,6/4/2022 19:00,10.944,,
,6/4/2022 19:31,,36,0.254
,6/4/2022 20:00,9.176,,
,6/4/2022 20:58,,37,0.254
,6/4/2022 21:00,8.182,,
,6/4/2022 22:00,7.983,,
,6/4/2022 22:04,,38,0.254
,6/4/2022 23:00,7.782,,
,6/5/2022 0:00,7.582,,
,6/5/2022 1:00,7.381,,
,6/5/2022 1:11,,39,0.254
,6/5/2022 2:00,7.381,,
,6/5/2022 3:00,6.978,,
,6/5/2022 4:00,6.775,,
,6/5/2022 5:00,7.179,,
,6/5/2022 6:00,7.882,,
,6/5/2022 7:00,12.013,,
,6/5/2022 8:00,12.401,,
,6/5/2022 8:07,,40,0.254
,6/5/2022 8:31,,41,0.254
,6/5/2022 8:43,,42,0.254
,6/5/2022 9:00,11.041,,
,6/5/2022 9:02,,43,0.254
